#{"t_start": 1781184886.0506666, "env_id": "relocate-v1"}
r,l,t,solved
-5.873743,200,0.728484,False
-6.477673,200,0.844505,False
-6.535837,200,0.95973,False
-5.789225,200,1.074507,False
-6.930843,200,1.202009,False
-8.234766,200,1.316933,False
-6.451156,200,1.430929,False
-5.441646,200,1.548749,False
-5.215378,200,1.66421,False
-6.183023,200,1.778604,False
-5.276467,200,1.891673,False
5.743511,170,1.988926,False
13.110041,104,2.047622,False
-0.096136,200,2.163622,False
-7.719546,200,2.27704,False
9.785468,192,2.383996,False
-6.655461,200,2.498302,False
-7.871635,200,2.611854,False
-6.831084,200,2.728563,False
-6.387665,200,2.842274,False
-6.013114,200,2.95617,False
-5.251596,200,3.071821,False
-6.263597,200,3.185503,False
-6.360269,189,3.291945,False
-2.113086,167,3.388204,False
-7.92487,200,3.504191,False
-5.040098,200,3.617615,False
-7.064033,200,3.730824,False
-5.245871,145,3.814578,False
-3.527071,195,3.926322,False
-2.412353,200,4.041813,False
-7.958717,200,4.155282,False
-6.607777,200,4.269374,False
-5.586111,200,4.383256,False
-7.772456,200,4.497442,False
-7.648301,200,4.610824,False
-0.097177,72,4.652333,False
-4.960409,200,4.765659,False
-1.01996,200,4.879714,False
-5.823094,200,4.993592,False
-6.56484,200,5.108567,False
-8.354056,200,5.223459,False
-6.491818,200,5.335795,False
-7.660178,200,5.450344,False
-6.020118,200,5.564487,False
-5.933609,200,5.679116,False
12.705847,186,5.785405,False
4.008147,125,5.857205,False
-8.458411,200,5.97379,False
-1.622948,200,6.086689,False
-5.29154,200,6.201506,False
-7.52424,200,6.315181,False
-5.327809,200,7.312103,False
-0.881562,200,8.45105,False
-6.443755,200,9.548763,False
-6.878873,200,10.64667,False
-6.204799,200,11.716917,False
8.246617,76,12.132031,False
-8.29167,200,13.247182,False
-3.175605,107,13.842888,False
-6.958865,200,14.940315,False
-5.744651,200,16.059556,False
-4.832056,200,17.155705,False
-6.294404,200,18.252509,False
0.827419,159,19.122219,False
10.839923,41,19.351093,False
1.335073,200,20.483248,False
-3.544887,104,21.06364,False
-8.258151,200,22.131495,False
-7.417982,168,22.987366,False
-5.937959,124,23.639425,False
-9.932866,200,24.728806,False
-1.130843,25,24.869188,False
-8.250297,200,25.918618,False
-3.615805,102,26.456286,False
-0.933345,26,26.588929,False
19.927812,74,26.968828,False
-2.508498,98,27.494803,False
-2.823046,70,27.873631,False
-9.097742,191,28.896425,False
-5.713074,129,29.590288,False
-2.332075,85,30.043869,False
-1.242007,21,30.161443,False
-0.786959,14,30.236517,False
-8.54331,200,31.328756,False
-11.333034,200,32.382572,False
-4.810373,130,33.082276,False
-7.275892,182,34.077386,False
-6.644115,114,34.700152,False
-0.652263,13,34.770164,False
-0.623983,11,34.83022,False
-0.577346,10,34.886639,False
-0.7358,16,34.972985,False
-0.782619,18,35.064981,False
-0.571619,16,35.150238,False
-0.617395,11,35.210159,False
-0.631041,12,35.271506,False
-0.919981,17,35.363615,False
-0.918067,19,35.466149,False
-0.786851,15,35.54758,False
-0.677406,12,35.61268,False
-3.541028,65,35.961266,False
-0.91369,20,36.069993,False
-0.829209,19,36.175459,False
-1.036014,21,36.284686,False
-0.741754,15,36.359125,False
-0.972456,18,36.452337,False
-0.927103,22,36.562136,False
-0.602048,14,36.636113,False
-0.810972,21,36.740721,False
-0.954902,20,36.843293,False
-0.836165,15,36.92461,False
-0.660188,12,36.991908,False
-0.825935,17,37.084117,False
-1.024208,27,37.230121,False
-3.320182,60,37.562113,False
7.804298,92,38.028227,False
3.02498,111,38.59834,False
-8.989171,200,39.619207,False
-9.917716,200,40.649386,False
-1.637798,30,40.800586,False
-6.113629,200,41.815519,False
-8.419849,200,42.93106,False
-5.394885,130,43.624931,False
-7.01262,200,44.694328,False
-7.388257,200,45.709556,False
-0.841908,16,45.788924,False
-0.83788,19,45.882728,False
-0.701917,21,45.992899,False
-0.703979,13,46.060521,False
-0.750051,17,46.14662,False
-0.643616,14,46.218982,False
-7.749242,143,46.967566,False
-0.675441,16,47.055759,False
-0.59088,13,47.126601,False
-0.623981,12,47.192814,False
-0.624805,14,47.272205,False
-0.723262,14,47.344816,False
-0.614288,13,47.411977,False
-0.6637,13,47.477611,False
-0.604642,13,47.545209,False
-0.561178,10,47.593726,False
-0.564801,12,47.653601,False
-0.581496,10,47.704427,False
-0.687523,13,47.772642,False
-7.642464,156,48.562365,False
-0.80775,16,48.651202,False
-1.507821,26,48.79307,False
7.152312,200,49.802804,False
-0.407086,193,50.863726,False
-1.861519,60,51.197758,False
-0.780244,21,51.311133,False
-0.687023,18,51.411626,False
-1.088584,25,51.547573,False
-8.275413,200,52.638554,False
-11.950933,200,53.699816,False
-0.662523,14,53.776983,False
-0.463997,8,53.820477,False
-0.634711,13,53.890835,False
-0.62188,13,53.961187,False
-0.621767,12,54.028468,False
-0.549095,11,54.088439,False
-0.627655,12,54.156005,False
-0.641684,13,54.227717,False
-8.653223,166,55.120612,False
-0.903128,25,55.255275,False
-0.730255,13,55.329039,False
-9.486258,200,56.39109,False
-0.871632,17,56.484979,False
-0.577539,10,56.539274,False
-0.878363,16,56.62561,False
-0.853288,16,56.714339,False
-0.842067,16,56.804119,False
-0.913668,18,56.903158,False
-0.966927,18,57.00139,False
-1.1719,20,57.112552,False
-0.925122,18,57.209813,False
-0.866751,18,57.3099,False
-8.156861,200,58.399765,False
-8.710548,200,59.434679,False
-7.036179,200,60.441658,False
-5.918767,200,61.498698,False
-6.388351,200,62.547443,False
-7.69327,200,63.547302,False
-9.132289,200,64.607527,False
-3.884934,140,65.364862,False
-1.762228,35,65.545816,False
-6.710426,200,66.611694,False
-3.410375,69,66.983754,False
-9.687453,197,68.054713,False
-0.841107,18,68.151705,False
-0.963392,19,68.255121,False
-0.70974,14,68.334655,False
-1.405378,26,68.471977,False
-0.914123,19,68.575898,False
-0.802572,15,68.657527,False
-0.782829,14,68.73669,False
-1.619185,30,68.897303,False
-1.606696,30,69.072347,False
-3.302037,61,69.392909,False
-0.976052,17,69.486841,False
-9.888219,200,70.621958,False
-7.81946,200,71.727869,False
-6.456598,200,72.806145,False
-3.745795,83,73.261562,False
-1.55861,36,73.460772,False
-1.452046,28,73.604089,False
-10.11769,200,74.61947,False
-2.945363,69,74.995175,False
-3.831605,67,75.347408,False
-10.096869,200,76.397603,False
-8.617557,200,77.429486,False
-7.404573,200,78.453691,False
-6.327636,200,79.51343,False
-7.880493,200,80.593503,False
-4.939178,110,81.176738,False
7.365621,52,81.440666,False
-9.525506,200,82.527046,False
-7.909957,200,83.612199,False
-7.018007,152,84.446526,False
-8.872566,200,85.53088,False
-8.080555,200,86.618642,False
-1.999438,43,86.854439,False
-8.508259,200,87.860955,False
-1.727695,42,88.09421,False
5.740871,36,88.297013,False
-8.338301,200,89.331089,False
-10.3707,200,90.356015,False
-0.580754,13,90.428699,False
-11.204873,200,91.512979,False
-0.67687,15,91.594314,False
-0.620152,14,91.670294,False
-9.485517,200,92.719983,False
-8.669384,200,93.777273,False
-4.738427,99,94.292288,False
-10.350206,200,95.361696,False
-8.084846,200,96.435769,False
-4.474096,88,96.899889,False
-4.695527,88,97.373048,False
-4.342124,89,97.853213,False
-10.977453,200,98.871646,False
-0.569325,10,98.921519,False
-0.658046,11,98.976512,False
-7.867413,200,99.997795,False
-8.621911,200,101.058735,False
8.092737,39,101.26863,False
-6.838863,200,102.330844,False
-6.475951,200,103.423375,False
-6.605993,200,104.48039,False
-5.986102,200,105.553421,False
-6.040925,200,106.637815,False
-5.09876,200,107.712811,False
-4.59115,200,108.742684,False
-5.966244,200,109.74704,False
-8.076425,200,110.821043,False
-10.37973,200,111.844583,False
-9.956346,200,112.898606,False
-9.430055,200,113.899679,False
-7.54723,200,114.912296,False
-8.160577,200,115.906027,False
-6.337348,200,116.915908,False
-8.978785,200,117.964193,False
-2.380044,50,118.225616,False
-8.620006,155,119.074013,False
-6.56378,119,119.736109,False
-2.012151,39,119.949943,False
-10.863546,200,121.049114,False
-0.82437,15,121.130803,False
-10.64113,200,122.225291,False
-0.953086,18,122.314833,False
-9.134704,200,123.365575,False
-0.751524,17,123.450763,False
-0.837185,16,123.532286,False
-0.907214,17,123.616613,False
-0.752277,13,123.68244,False
-0.702777,13,123.748606,False
-0.71834,17,123.843138,False
-0.811458,18,123.944166,False
-0.875584,18,124.044035,False
-8.752417,200,125.130212,False
-3.255377,69,125.513312,False
-1.596355,31,125.679445,False
-1.529881,28,125.833429,False
-1.302833,23,125.955083,False
-9.456515,200,127.020964,False
-1.051045,22,127.132593,False
-7.877879,200,128.139662,False
-1.118031,20,128.237094,False
-7.64867,200,129.307675,False
-7.307699,200,130.39963,False
-7.364461,200,131.492566,False
-8.38487,200,132.593728,False
-7.752118,200,133.688879,False
